epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,442.526,0.83134,0.424,0.90647,0.99632,0.99228,0.99462,0.7896,0.80811,0.38557,0.9104,0.000986403,0.000986403,0.000986403
118,446.128,0.85901,0.43896,0.90294,0.98355,0.99472,0.99412,0.77035,0.82209,0.39897,0.91635,0.000985329,0.000985329,0.000985329
119,449.726,0.8605,0.43832,0.90201,0.97947,0.9929,0.99362,0.78965,0.79015,0.37156,0.90869,0.000984255,0.000984255,0.000984255
120,453.384,0.86401,0.43994,0.90427,0.98527,0.99587,0.9939,0.79509,0.7847,0.38555,0.90644,0.000983181,0.000983181,0.000983181
121,457.046,0.89024,0.47426,0.92885,0.99342,0.99556,0.99418,0.79947,0.76768,0.38719,0.90384,0.000982107,0.000982107,0.000982107
122,460.75,0.8508,0.45609,0.90244,0.99092,0.99682,0.99385,0.79,0.79961,0.37257,0.91135,0.000981033,0.000981033,0.000981033
123,464.613,0.90401,0.46991,0.90682,0.99256,0.99722,0.99412,0.78875,0.79693,0.38855,0.91311,0.000979958,0.000979958,0.000979958
124,468.274,0.84054,0.4453,0.91072,0.98896,0.99682,0.99425,0.79303,0.789,0.37534,0.90909,0.000978884,0.000978884,0.000978884
125,472.002,0.80473,0.42668,0.91778,0.99295,0.99483,0.99452,0.79852,0.77512,0.36727,0.90329,0.00097781,0.00097781,0.00097781
126,475.642,0.8597,0.46139,0.90399,0.98251,0.99307,0.99424,0.78302,0.81712,0.39362,0.91663,0.000976736,0.000976736,0.000976736
127,479.242,0.84515,0.42069,0.93256,0.98162,0.99759,0.99377,0.79738,0.77816,0.36632,0.90428,0.000975662,0.000975662,0.000975662
128,483.086,0.84401,0.48009,0.89797,0.98907,0.98915,0.99376,0.7885,0.78873,0.36708,0.90743,0.000974588,0.000974588,0.000974588
129,486.777,0.80187,0.41581,0.88792,0.99075,0.99732,0.9945,0.79666,0.77547,0.36731,0.90444,0.000973514,0.000973514,0.000973514
130,490.421,0.76349,0.54582,0.8277,0.98754,0.99591,0.99484,0.78372,0.79116,0.37044,0.90397,0.00097244,0.00097244,0.00097244
131,494.111,0.89039,0.4544,0.90601,0.98122,0.99167,0.99424,0.78407,0.80329,0.3662,0.90508,0.000971366,0.000971366,0.000971366
132,497.785,0.83758,0.42937,0.92374,0.98351,0.99496,0.99496,0.79499,0.7839,0.38407,0.90715,0.000970291,0.000970291,0.000970291
133,501.648,0.8353,0.43964,0.91726,0.9841,0.99787,0.99446,0.79627,0.78708,0.37472,0.90606,0.000969217,0.000969217,0.000969217
134,505.352,0.81909,0.42601,0.8841,0.98539,0.99577,0.99379,0.80344,0.77687,0.366,0.90029,0.000968143,0.000968143,0.000968143
135,509.034,0.82884,0.42025,0.88708,0.99166,0.9935,0.99412,0.79912,0.78521,0.36809,0.90483,0.000967069,0.000967069,0.000967069
136,512.679,0.82378,0.4157,0.90995,0.98657,0.99673,0.99454,0.808,0.77092,0.36541,0.90044,0.000965995,0.000965995,0.000965995
137,516.376,0.87578,0.43499,0.93066,0.99538,0.9953,0.99482,0.79819,0.78848,0.37381,0.90746,0.000964921,0.000964921,0.000964921
138,520.215,0.80571,0.43234,0.89665,0.99151,0.99772,0.99486,0.8072,0.76238,0.35984,0.89807,0.000963847,0.000963847,0.000963847
139,523.864,0.85456,0.45763,0.93735,0.99178,0.99182,0.99481,0.80413,0.77814,0.37387,0.90308,0.000962773,0.000962773,0.000962773
140,527.519,0.84759,0.47389,0.89574,0.99421,0.9956,0.9944,0.80192,0.78176,0.37121,0.90438,0.000961699,0.000961699,0.000961699
141,531.139,0.7835,0.4604,0.84191,0.99141,0.9915,0.99426,0.80329,0.75284,0.37444,0.89766,0.000960624,0.000960624,0.000960624
142,534.854,0.80739,0.42387,0.89382,0.99052,0.9909,0.99464,0.80414,0.74915,0.36254,0.89543,0.00095955,0.00095955,0.00095955
143,538.71,0.83679,0.41756,0.89347,0.99132,0.9937,0.99483,0.8077,0.73714,0.3563,0.89024,0.000958476,0.000958476,0.000958476
144,542.4,0.84196,0.43866,0.90712,0.99661,0.99753,0.99481,0.81366,0.73329,0.34646,0.88906,0.000957402,0.000957402,0.000957402
145,546.198,0.84651,0.42915,0.90514,0.99238,0.99519,0.99478,0.79031,0.7625,0.37116,0.89633,0.000956328,0.000956328,0.000956328
146,549.834,0.84581,0.43176,0.91759,0.99274,0.99257,0.99448,0.80093,0.76373,0.36863,0.8991,0.000955254,0.000955254,0.000955254
147,553.443,0.72913,0.40438,0.82123,0.99312,0.99584,0.99444,0.79624,0.76496,0.36984,0.90202,0.00095418,0.00095418,0.00095418
148,557.381,0.81362,0.41491,0.90858,0.99556,0.99545,0.99472,0.80737,0.7464,0.3415,0.89482,0.000953106,0.000953106,0.000953106
149,561.051,0.82997,0.45355,0.90343,0.99585,0.99623,0.99491,0.8062,0.75768,0.3588,0.89834,0.000952032,0.000952032,0.000952032
150,564.819,0.8136,0.42377,0.88657,0.99687,0.99686,0.9949,0.80421,0.75136,0.36221,0.89655,0.000950957,0.000950957,0.000950957
151,568.486,0.78467,0.41681,0.88335,0.99603,0.99893,0.99492,0.80992,0.74884,0.34635,0.89512,0.000949883,0.000949883,0.000949883
152,572.182,0.79696,0.40032,0.88628,0.99763,0.99703,0.99491,0.81599,0.72846,0.34643,0.88771,0.000948809,0.000948809,0.000948809
153,576.034,0.79035,0.40445,0.89202,0.99286,0.99506,0.99495,0.81244,0.72816,0.34505,0.8871,0.000947735,0.000947735,0.000947735
154,579.707,0.77632,0.39851,0.88969,0.99204,0.99547,0.99494,0.80535,0.73259,0.34103,0.88853,0.000946661,0.000946661,0.000946661
155,583.349,0.81815,0.40703,0.89199,0.99703,0.997,0.9949,0.80193,0.77168,0.35673,0.90102,0.000945587,0.000945587,0.000945587
156,586.993,0.8221,0.42334,0.90062,0.99643,0.99955,0.99481,0.82017,0.71981,0.33857,0.88523,0.000944513,0.000944513,0.000944513
157,590.693,0.79496,0.42158,0.88065,0.99749,0.99905,0.99477,0.8115,0.72541,0.34521,0.88721,0.000943439,0.000943439,0.000943439
158,594.496,0.83284,0.45935,0.89177,0.99474,0.99838,0.99491,0.80746,0.74083,0.34894,0.89128,0.000942365,0.000942365,0.000942365
159,598.207,0.79279,0.40177,0.88129,0.99718,0.99746,0.99485,0.82106,0.70919,0.33311,0.88342,0.00094129,0.00094129,0.00094129
160,601.826,0.80308,0.39495,0.90499,0.99679,0.99643,0.99487,0.79778,0.76083,0.34506,0.89481,0.000940216,0.000940216,0.000940216
161,605.464,0.81171,0.39786,0.91452,0.99397,0.99344,0.99492,0.81772,0.71632,0.34201,0.8838,0.000939142,0.000939142,0.000939142
162,609.091,0.7864,0.40649,0.88949,0.9922,0.99777,0.99491,0.82352,0.70218,0.32959,0.88046,0.000938068,0.000938068,0.000938068
163,612.738,0.77515,0.38603,0.88384,0.99423,0.99872,0.99497,0.82173,0.7213,0.33234,0.88355,0.000936994,0.000936994,0.000936994
164,616.519,0.80639,0.40147,0.89833,0.99625,0.99872,0.99491,0.81979,0.7166,0.33835,0.88428,0.00093592,0.00093592,0.00093592
165,620.132,0.78643,0.3948,0.88605,0.99767,0.9988,0.99492,0.8081,0.75646,0.34221,0.89016,0.000934846,0.000934846,0.000934846
166,623.719,0.81223,0.43785,0.88911,0.99724,0.9997,0.99489,0.82119,0.7233,0.34446,0.88544,0.000933772,0.000933772,0.000933772
167,627.343,0.80268,0.40312,0.9078,0.99442,0.99886,0.99487,0.82235,0.71446,0.33959,0.88253,0.000932698,0.000932698,0.000932698
168,630.933,0.72271,0.38998,0.81567,0.99569,0.99576,0.99472,0.81305,0.73276,0.34223,0.88601,0.000931623,0.000931623,0.000931623
169,634.68,0.76764,0.39221,0.88461,0.99585,0.99887,0.99474,0.82006,0.72367,0.33495,0.88497,0.000930549,0.000930549,0.000930549
170,638.249,0.75959,0.39535,0.90573,0.99554,0.99815,0.99485,0.82064,0.72449,0.33887,0.88553,0.000929475,0.000929475,0.000929475
171,641.838,0.80902,0.41627,0.88516,0.99626,1,0.9949,0.82598,0.71967,0.34513,0.88266,0.000928401,0.000928401,0.000928401
172,645.467,0.81116,0.41671,0.88878,0.99575,0.99797,0.99492,0.81745,0.72516,0.33942,0.88381,0.000927327,0.000927327,0.000927327
173,649.107,0.78865,0.40436,0.8861,0.99171,0.99778,0.99493,0.81992,0.72307,0.34099,0.88392,0.000926253,0.000926253,0.000926253
174,652.881,0.76145,0.38317,0.89071,0.99604,0.99607,0.99499,0.82669,0.69441,0.32661,0.87433,0.000925179,0.000925179,0.000925179
175,656.507,0.75284,0.38147,0.88733,0.99661,0.99741,0.99492,0.81945,0.7117,0.32178,0.88049,0.000924105,0.000924105,0.000924105
176,660.091,0.78901,0.3872,0.91463,0.99629,0.99779,0.99497,0.81894,0.70277,0.33003,0.87949,0.000923031,0.000923031,0.000923031
177,663.673,0.76872,0.37821,0.84776,0.99676,0.99964,0.995,0.80632,0.72699,0.34358,0.88492,0.000921956,0.000921956,0.000921956
178,667.245,0.79714,0.40156,0.88856,0.99707,0.99787,0.99491,0.80956,0.71958,0.33962,0.88358,0.000920882,0.000920882,0.000920882
179,670.849,0.78317,0.38668,0.89333,0.9945,0.99759,0.99474,0.80778,0.76146,0.35022,0.89552,0.000919808,0.000919808,0.000919808
180,674.608,0.79457,0.40495,0.88603,0.99643,0.99669,0.99497,0.81305,0.73042,0.339,0.88217,0.000918734,0.000918734,0.000918734
181,678.235,0.7867,0.39476,0.87762,0.99758,0.99736,0.99497,0.81595,0.70064,0.33669,0.88193,0.00091766,0.00091766,0.00091766
