epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,445.687,0.79987,0.42691,0.90568,0.99294,0.99625,0.99374,0.80723,0.76488,0.35281,0.90049,0.000987477,0.000987477,0.000987477
117,449.623,0.81703,0.42542,0.90263,0.98849,0.99162,0.99411,0.81577,0.76326,0.35503,0.89933,0.000986403,0.000986403,0.000986403
118,453.499,0.83092,0.43615,0.90047,0.99036,0.99697,0.9944,0.79895,0.80812,0.37668,0.9142,0.000985329,0.000985329,0.000985329
119,457.601,0.82533,0.41086,0.89453,0.99073,0.99609,0.99419,0.81135,0.77152,0.37542,0.9021,0.000984255,0.000984255,0.000984255
120,461.258,0.85739,0.43243,0.9017,0.99149,0.99531,0.99421,0.8077,0.75963,0.37563,0.89867,0.000983181,0.000983181,0.000983181
121,464.951,0.83682,0.43946,0.9127,0.99027,0.99378,0.99329,0.80941,0.77638,0.37199,0.90235,0.000982107,0.000982107,0.000982107
122,468.737,0.81869,0.43649,0.89321,0.99165,0.99646,0.994,0.79846,0.80986,0.3702,0.91294,0.000981033,0.000981033,0.000981033
123,472.315,0.83939,0.43423,0.89108,0.99087,0.99759,0.99423,0.80782,0.77337,0.36569,0.90302,0.000979958,0.000979958,0.000979958
124,476.17,0.79656,0.41543,0.89713,0.99224,0.99379,0.9945,0.80521,0.77202,0.35073,0.90197,0.000978884,0.000978884,0.000978884
125,479.858,0.80023,0.41796,0.91957,0.98182,0.99488,0.9945,0.80361,0.78606,0.36592,0.90514,0.00097781,0.00097781,0.00097781
126,483.986,0.8178,0.42818,0.89515,0.9907,0.99392,0.99415,0.80705,0.81081,0.37363,0.90992,0.000976736,0.000976736,0.000976736
127,487.846,0.80713,0.43152,0.91842,0.98739,0.99566,0.99414,0.80102,0.77856,0.3726,0.904,0.000975662,0.000975662,0.000975662
128,491.635,0.8094,0.46848,0.8964,0.99196,0.99671,0.99475,0.80893,0.77737,0.3646,0.90493,0.000974588,0.000974588,0.000974588
129,495.499,0.79415,0.4115,0.88482,0.99362,0.99612,0.9949,0.81089,0.77124,0.36139,0.90245,0.000973514,0.000973514,0.000973514
130,499.229,0.74658,0.42394,0.82869,0.99345,0.99681,0.99451,0.82122,0.75028,0.34674,0.89592,0.00097244,0.00097244,0.00097244
131,503.072,0.86688,0.4289,0.90833,0.99526,0.99738,0.99432,0.80264,0.77342,0.35812,0.90066,0.000971366,0.000971366,0.000971366
132,506.831,0.82459,0.42408,0.91801,0.99119,0.99623,0.99434,0.80262,0.78127,0.34856,0.90398,0.000970291,0.000970291,0.000970291
133,510.426,0.83051,0.41951,0.92439,0.99191,0.99533,0.9946,0.80864,0.75414,0.35333,0.896,0.000969217,0.000969217,0.000969217
